,pop,lifeExp
count,1704.0,1704.0
mean,29601212.32511736,59.474439366197174
std,106157896.74682792,12.917107415241192
min,60011.0,23.599
25%,2793664.0,48.198
50%,7023595.5,60.7125
75%,19585221.75,70.8455
max,1318683096.0,82.603
