Timestamp,Age,Gender,Country,self employed,family history,treatment,work interfere,remote work,tech company,benefits,leave,mental health consequence
27/08/2014 11:35,46,Male,United States,No,No,Yes,Often,Yes,Yes,Yes,Don't know,Maybe
27/08/2014 11:36,41,Male,United States,No,No,Yes,Never,No,No,Don't know,Don't know,Maybe
27/08/2014 11:36,33,male,United States,No,Yes,Yes,Rarely,No,Yes,Yes,Don't know,No
27/08/2014 11:37,35,male,United States,No,Yes,Yes,Sometimes,No,No,Yes,Very easy,Yes
27/08/2014 11:42,35,M,United States,No,No,Yes,Rarely,Yes,Yes,Yes,Very easy,No
27/08/2014 11:42,24,Male,United Kingdom,No,No,Yes,Sometimes,No,Yes,No,Don't know,Maybe
27/08/2014 11:42,35,Male,United States,No,No,No,Sometimes,Yes,Yes,Yes,Somewhat difficult,Yes
27/08/2014 11:43,27,Male,Canada,No,Yes,Yes,Sometimes,No,Yes,No,Very difficult,Maybe
27/08/2014 11:43,18,Male,Netherlands,No,No,No,Often,No,Yes,No,Somewhat difficult,Yes
27/08/2014 11:43,30,Male,United States,No,No,Yes,Sometimes,No,Yes,Don't know,Don't know,No
27/08/2014 11:43,38,Female,United States,No,Yes,Yes,Sometimes,No,Yes,Yes,Somewhat easy,No
27/08/2014 11:43,28,Male,United Kingdom,No,No,No,Sometimes,No,Yes,Don't know,Don't know,No
27/08/2014 11:43,34,Male,United States,No,No,No,Sometimes,No,Yes,No,Don't know,No
27/08/2014 11:43,26,m,Canada,Yes,No,No,Sometimes,No,Yes,No,Don't know,No
27/08/2014 11:44,30,male,United States,No,Yes,Yes,Rarely,No,Yes,Yes,Don't know,Maybe
27/08/2014 12:12,31,Male,United States,No,No,No,Never,No,Yes,Yes,Somewhat easy,No
27/08/2014 12:13,40,male,United States,No,No,Yes,Never,No,Yes,No,Very difficult,No
27/08/2014 12:14,34,Male,United States,No,No,No,Never,No,Yes,Don't know,Somewhat easy,Maybe
27/08/2014 12:15,25,F,Canada,No,No,Yes,Sometimes,No,Yes,Yes,Don't know,Maybe
27/08/2014 12:15,29,male,United States,No,No,No,Never,No,Yes,Don't know,Don't know,No
27/08/2014 12:16,24,Male,United States,No,Yes,No,Rarely,No,Yes,Don't know,Somewhat easy,Maybe
27/08/2014 12:17,31,male,Mexico,No,Yes,Yes,Sometimes,No,Yes,Don't know,Don't know,No
27/08/2014 12:18,33,Cis Male,United States,No,No,Yes,Sometimes,No,Yes,No,Somewhat easy,Maybe
27/08/2014 12:18,30,M,United States,No,No,Yes,Often,No,Yes,No,Somewhat easy,No
